Tela,Rota,Botao,Handler,Service,Endpoint,ProviderJob,Status,EvidenciaTeste
Central de Públicos,/(marketing)/marketing/publicos,Adicionar Grupo Regras AND/OR,handleAddRuleGroup,AudiencesJourneysService,POST /api/marketing/audiences/preview,Engine de Segmentação,FUNCIONAL,audiences-journeys.spec.ts
Central de Públicos,/(marketing)/marketing/publicos,Recalcular Audiência,handleRecalculateAudience,AudiencesJourneysService,POST /api/marketing/audiences/:id/recalculate,Job Background Recalc,FUNCIONAL,audiences-journeys.spec.ts
Central de Públicos,/(marketing)/marketing/publicos,Sincronizar com Meta Ads,handleSyncMetaAudience,AudiencesJourneysService,POST /api/marketing/audiences/:id/sync/meta,Meta Custom Audience API,BLOQUEADO_POR_CREDENCIAL,PENDENCIAS_EXTERNAS.md
Central de Públicos,/(marketing)/marketing/publicos,Sincronizar com Google Ads,handleSyncGoogleAudience,AudiencesJourneysService,POST /api/marketing/audiences/:id/sync/google,Google Customer Match API,BLOQUEADO_POR_CREDENCIAL,PENDENCIAS_EXTERNAS.md
Central de Públicos,/(marketing)/marketing/publicos,Duplicar Público,handleDuplicateAudience,AudiencesJourneysService,POST /api/marketing/audiences/:id/duplicar,N/A,FUNCIONAL,audiences-journeys.spec.ts
Journey Builder,/(marketing)/marketing/jornadas,Nova Jornada,handleCreateJourney,AudiencesJourneysService,POST /api/marketing/journeys,N/A,FUNCIONAL,marketing-e2e-master.spec.ts
Journey Builder,/(marketing)/marketing/jornadas,Salvar Grafo de Nós,handleSaveJourneyGraph,AudiencesJourneysService,PUT /api/marketing/journeys/:id,Graph Validator,FUNCIONAL,audiences-journeys.spec.ts
Journey Builder,/(marketing)/marketing/jornadas,Validar Integridade Grafo,handleValidateJourney,AudiencesJourneysService,POST /api/marketing/journeys/:id/validate,Topological Sort Engine,FUNCIONAL,audiences-journeys.spec.ts
Journey Builder,/(marketing)/marketing/jornadas,Ativar Automação,handleActivateJourney,AudiencesJourneysService,POST /api/marketing/journeys/:id/activate,Journey Execution Worker,FUNCIONAL,marketing-e2e-master.spec.ts
Journey Builder,/(marketing)/marketing/jornadas,Pausar Automação,handlePauseJourney,AudiencesJourneysService,POST /api/marketing/journeys/:id/pause,Journey Poller,FUNCIONAL,audiences-journeys.spec.ts
Journey Builder,/(marketing)/marketing/jornadas,Testar Simulação Jornada,handleSimulateJourney,AudiencesJourneysService,POST /api/marketing/journeys/:id/test,Simulation Sandbox,FUNCIONAL,audiences-journeys.spec.ts
Jornada de Remarketing,/(marketing)/marketing/jornadas,Disparar WhatsApp de Teste,handleSendTestWhatsapp,AudiencesJourneysService,POST /api/marketing/journeys/dispatch-test,WhatsApp Cloud API,BLOQUEADO_POR_CREDENCIAL,PENDENCIAS_EXTERNAS.md
Tracking Gateway & Multi-Pixel,/(marketing)/marketing/tracking,Novo Pixel/CAPI,handleCreateTrackingConfig,TrackingService,POST /api/marketing/tracking/configs,Multi-Pixel Adapter,FUNCIONAL,marketing-e2e-master.spec.ts
Tracking Gateway & Multi-Pixel,/(marketing)/marketing/tracking,Testar Conexão Pixel,handleTestTrackingConnection,TrackingService,POST /api/marketing/tracking/configs/:id/test,Provider Probe CAPI,FUNCIONAL,tracking.spec.ts
Tracking Gateway & Multi-Pixel,/(marketing)/marketing/tracking,Ingestão de Evento Canônico,handleIngestEvent,TrackingService,POST /api/marketing/tracking/events,Tracking Gateway Hub,FUNCIONAL,marketing-e2e-master.spec.ts
Tracking Gateway & Multi-Pixel,/(marketing)/marketing/tracking,Deduplicação Browser/Server,handleDedupVerification,TrackingService,POST /api/marketing/tracking/events,Deterministic 48h Dedup Store,FUNCIONAL,marketing-e2e-master.spec.ts
Tracking Gateway & Multi-Pixel,/(marketing)/marketing/tracking,Confirmação Server-Side Purchase,handleConfirmPurchase,TrackingService,POST /api/marketing/tracking/conversions/confirm,Purchase Operational Validator,FUNCIONAL,marketing-e2e-master.spec.ts
Status Real & Telemetria,/(marketing)/marketing/status,Executar Diagnóstico Geral,handleRunGlobalDiagnostics,HealthTelemetryService,POST /api/marketing/health/diagnose,Health Diagnostics Engine,FUNCIONAL,health-telemetry.spec.ts
Status Real & Telemetria,/(marketing)/marketing/status,Verificar Entidade Individual,handleCheckEntityHealth,HealthTelemetryService,POST /api/marketing/health/entities/:id/check,Health Probes Worker,FUNCIONAL,health-telemetry.spec.ts
Status Real & Telemetria,/(marketing)/marketing/status,Autocorreção Segura Worker,handleSafeAutoRepair,HealthTelemetryService,POST /api/marketing/health/repairs/:id/execute,Auto-Repair Guardrail Engine,FUNCIONAL,marketing-e2e-master.spec.ts
Status Real & Telemetria,/(marketing)/marketing/status,Tentar Alterar Orçamento via Robô,handleForbiddenBudgetRepair,HealthTelemetryService,POST /api/marketing/health/repairs/:id/execute,Security Exception Interceptor,FUNCIONAL,marketing-e2e-master.spec.ts
Status Real & Telemetria,/(marketing)/marketing/status,Reconciliar Status Provedor,handleReconcileDiscrepancy,HealthTelemetryService,POST /api/marketing/health/reconciliations/:id/resolve,Reconciliation Engine,FUNCIONAL,marketing-e2e-master.spec.ts
Status Real & Telemetria,/(marketing)/marketing/status,Retentar Fila de Retry com Falha,handleFlushRetryQueue,HealthTelemetryService,POST /api/marketing/health/jobs/retry/flush,BullMQ / Redis Retry Worker,FUNCIONAL,health-telemetry.spec.ts
Analytics & Atribuição,/(marketing)/marketing/analytics,Recalcular Atribuição Multi-Touch,handleRecalculateAttribution,AnalyticsAttributionService,POST /api/marketing/analytics/attribution/recalculate,Multi-Touch Engine (5 Models),FUNCIONAL,marketing-e2e-master.spec.ts
Analytics & Atribuição,/(marketing)/marketing/analytics,Alternar Modelo (First/Last/Linear),handleSwitchModel,AnalyticsAttributionService,GET /api/marketing/analytics/attribution?model=:model,Attribution Weight Matrix,FUNCIONAL,marketing-e2e-master.spec.ts
Analytics & Atribuição,/(marketing)/marketing/analytics,Inspecionar Funil de Conversão,handleInspectFunnel,AnalyticsAttributionService,GET /api/marketing/analytics/funnel,Funnel Aggregator,FUNCIONAL,analytics-attribution.spec.ts
Analytics & Atribuição,/(marketing)/marketing/analytics,Consultar Qualidade de Dados (Data Quality),handleInspectDataQuality,AnalyticsAttributionService,GET /api/marketing/analytics/data-quality,Data Quality Audit Engine,FUNCIONAL,analytics-attribution.spec.ts
Analytics & Atribuição,/(marketing)/marketing/analytics,Consultar Touchpoints do Pedido,handleGetOrderTouchpoints,AnalyticsAttributionService,GET /api/marketing/analytics/attribution/orders/:id,Session Stitching Engine,FUNCIONAL,analytics-attribution.spec.ts
Relatórios Executivos,/(marketing)/marketing/relatorios,Exportar Relatório Atribuição CSV,handleExportAttributionCsv,AnalyticsAttributionService,GET /api/marketing/analytics/export/csv,Report Generator Worker,FUNCIONAL,analytics-attribution.spec.ts
Relatórios Executivos,/(marketing)/marketing/relatorios,Exportar Relatório Atribuição PDF,handleExportAttributionPdf,AnalyticsAttributionService,GET /api/marketing/analytics/export/pdf,PDF Renderer Worker,FUNCIONAL,analytics-attribution.spec.ts
Configurações de Integração,/(marketing)/marketing/integracoes,Conectar Conta Meta OAuth,handleOAuthMeta,HealthTelemetryService,POST /api/marketing/integracoes/meta/oauth,Meta OAuth 2.0 Flow,BLOQUEADO_POR_CREDENCIAL,PENDENCIAS_EXTERNAS.md
Configurações de Integração,/(marketing)/marketing/integracoes,Conectar Conta TikTok OAuth,handleOAuthTikTok,HealthTelemetryService,POST /api/marketing/integracoes/tiktok/oauth,TikTok OAuth 2.0 Flow,BLOQUEADO_POR_CREDENCIAL,PENDENCIAS_EXTERNAS.md
Configurações de Integração,/(marketing)/marketing/integracoes,Conectar Google Ads Service Account,handleAuthGoogleAds,HealthTelemetryService,POST /api/marketing/integracoes/google/credentials,Google Cloud IAM,BLOQUEADO_POR_CREDENCIAL,PENDENCIAS_EXTERNAS.md
Configurações de Integração,/(marketing)/marketing/integracoes,Conectar Spotify Ad Studio Token,handleAuthSpotify,HealthTelemetryService,POST /api/marketing/integracoes/spotify/credentials,Spotify Partner API,BLOQUEADO_POR_CREDENCIAL,PENDENCIAS_EXTERNAS.md
